library,scheme,N,category,grid_depth,effective_depth,trial,step_index,step_name,noise_budget_bits,status
SEAL,BFV,4096,3,0,0,0,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,1,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,1,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,2,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,2,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,3,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,3,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,4,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,4,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,5,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,5,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,6,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,6,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,7,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,7,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,8,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,8,1,after_add,9,measured
SEAL,BFV,4096,3,0,0,9,0,fresh,10,measured
SEAL,BFV,4096,3,0,0,9,1,after_add,9,measured
SEAL,BFV,4096,5,0,0,0,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,0,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,1,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,1,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,2,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,2,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,3,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,3,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,4,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,4,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,5,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,5,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,6,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,6,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,7,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,7,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,8,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,8,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,9,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,9,1,after_add,1,measured
SEAL,BFV,8192,1,2,3,0,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,0,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,0,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,0,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,0,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,0,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,0,6,after_multiply_3,17,measured
SEAL,BFV,8192,1,2,3,0,7,after_relinearize_3,17,measured
SEAL,BFV,8192,1,2,3,1,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,1,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,1,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,1,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,1,4,after_multiply_2,49,measured
SEAL,BFV,8192,1,2,3,1,5,after_relinearize_2,49,measured
SEAL,BFV,8192,1,2,3,1,6,after_multiply_3,17,measured
SEAL,BFV,8192,1,2,3,1,7,after_relinearize_3,17,measured
SEAL,BFV,8192,1,2,3,2,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,2,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,2,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,2,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,2,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,2,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,2,6,after_multiply_3,17,measured
SEAL,BFV,8192,1,2,3,2,7,after_relinearize_3,17,measured
SEAL,BFV,8192,1,2,3,3,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,3,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,3,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,3,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,3,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,3,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,3,6,after_multiply_3,16,measured
SEAL,BFV,8192,1,2,3,3,7,after_relinearize_3,16,measured
SEAL,BFV,8192,1,2,3,4,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,4,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,4,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,4,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,4,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,4,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,4,6,after_multiply_3,17,measured
SEAL,BFV,8192,1,2,3,4,7,after_relinearize_3,17,measured
SEAL,BFV,8192,1,2,3,5,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,5,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,5,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,5,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,5,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,5,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,5,6,after_multiply_3,16,measured
SEAL,BFV,8192,1,2,3,5,7,after_relinearize_3,16,measured
SEAL,BFV,8192,1,2,3,6,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,6,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,6,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,6,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,6,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,6,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,6,6,after_multiply_3,17,measured
SEAL,BFV,8192,1,2,3,6,7,after_relinearize_3,17,measured
SEAL,BFV,8192,1,2,3,7,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,7,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,7,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,7,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,7,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,7,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,7,6,after_multiply_3,16,measured
SEAL,BFV,8192,1,2,3,7,7,after_relinearize_3,16,measured
SEAL,BFV,8192,1,2,3,8,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,8,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,8,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,8,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,8,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,8,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,8,6,after_multiply_3,17,measured
SEAL,BFV,8192,1,2,3,8,7,after_relinearize_3,17,measured
SEAL,BFV,8192,1,2,3,9,0,fresh,112,measured
SEAL,BFV,8192,1,2,3,9,1,after_add,112,measured
SEAL,BFV,8192,1,2,3,9,2,after_multiply_1,80,measured
SEAL,BFV,8192,1,2,3,9,3,after_relinearize_1,80,measured
SEAL,BFV,8192,1,2,3,9,4,after_multiply_2,48,measured
SEAL,BFV,8192,1,2,3,9,5,after_relinearize_2,48,measured
SEAL,BFV,8192,1,2,3,9,6,after_multiply_3,16,measured
SEAL,BFV,8192,1,2,3,9,7,after_relinearize_3,16,measured
SEAL,BFV,8192,3,1,2,0,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,0,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,0,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,0,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,0,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,0,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,1,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,1,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,1,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,1,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,1,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,1,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,2,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,2,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,2,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,2,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,2,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,2,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,3,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,3,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,3,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,3,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,3,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,3,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,4,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,4,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,4,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,4,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,4,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,4,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,5,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,5,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,5,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,5,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,5,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,5,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,6,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,6,1,after_add,73,measured
SEAL,BFV,8192,3,1,2,6,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,6,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,6,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,6,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,7,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,7,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,7,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,7,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,7,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,7,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,8,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,8,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,8,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,8,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,8,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,8,5,after_relinearize_2,10,measured
SEAL,BFV,8192,3,1,2,9,0,fresh,74,measured
SEAL,BFV,8192,3,1,2,9,1,after_add,74,measured
SEAL,BFV,8192,3,1,2,9,2,after_multiply_1,42,measured
SEAL,BFV,8192,3,1,2,9,3,after_relinearize_1,42,measured
SEAL,BFV,8192,3,1,2,9,4,after_multiply_2,10,measured
SEAL,BFV,8192,3,1,2,9,5,after_relinearize_2,10,measured
SEAL,BFV,8192,5,0,0,0,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,0,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,1,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,1,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,2,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,2,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,3,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,3,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,4,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,4,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,5,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,5,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,6,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,6,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,7,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,7,1,after_add,31,measured
SEAL,BFV,8192,5,0,0,8,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,8,1,after_add,30,measured
SEAL,BFV,8192,5,0,0,9,0,fresh,31,measured
SEAL,BFV,8192,5,0,0,9,1,after_add,31,measured
SEAL,BGV,2048,1,0,0,0,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,0,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,1,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,1,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,2,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,2,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,3,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,3,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,4,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,4,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,5,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,5,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,6,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,6,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,7,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,7,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,8,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,8,1,after_add,0,measured
SEAL,BGV,2048,1,0,0,9,0,fresh,0,measured
SEAL,BGV,2048,1,0,0,9,1,after_add,0,measured
SEAL,BGV,2048,3,0,0,0,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,0,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,1,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,1,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,2,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,2,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,3,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,3,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,4,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,4,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,5,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,5,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,6,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,6,1,after_add,5,measured
SEAL,BGV,2048,3,0,0,7,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,7,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,8,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,8,1,after_add,6,measured
SEAL,BGV,2048,3,0,0,9,0,fresh,6,measured
SEAL,BGV,2048,3,0,0,9,1,after_add,6,measured
SEAL,BGV,4096,1,1,1,0,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,0,1,after_add,45,measured
SEAL,BGV,4096,1,1,1,0,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,0,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,1,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,1,1,after_add,45,measured
SEAL,BGV,4096,1,1,1,1,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,1,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,2,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,2,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,2,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,2,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,3,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,3,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,3,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,3,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,4,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,4,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,4,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,4,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,5,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,5,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,5,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,5,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,6,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,6,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,6,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,6,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,7,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,7,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,7,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,7,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,8,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,8,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,8,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,8,3,after_relinearize_1,10,measured
SEAL,BGV,4096,1,1,1,9,0,fresh,45,measured
SEAL,BGV,4096,1,1,1,9,1,after_add,44,measured
SEAL,BGV,4096,1,1,1,9,2,after_multiply_1,10,measured
SEAL,BGV,4096,1,1,1,9,3,after_relinearize_1,10,measured
SEAL,BGV,4096,3,0,0,0,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,0,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,1,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,1,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,2,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,2,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,3,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,3,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,4,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,4,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,5,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,5,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,6,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,6,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,7,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,7,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,8,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,8,1,after_add,8,measured
SEAL,BGV,4096,3,0,0,9,0,fresh,9,measured
SEAL,BGV,4096,3,0,0,9,1,after_add,8,measured
SEAL,BGV,4096,5,0,0,0,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,0,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,1,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,1,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,2,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,2,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,3,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,3,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,4,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,4,1,after_add,1,measured
SEAL,BGV,4096,5,0,0,5,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,5,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,6,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,6,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,7,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,7,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,8,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,8,1,after_add,0,measured
SEAL,BGV,4096,5,0,0,9,0,fresh,1,measured
SEAL,BGV,4096,5,0,0,9,1,after_add,0,measured
SEAL,BGV,8192,1,2,3,0,0,fresh,112,measured
SEAL,BGV,8192,1,2,3,0,1,after_add,111,measured
SEAL,BGV,8192,1,2,3,0,2,after_multiply_1,77,measured
SEAL,BGV,8192,1,2,3,0,3,after_relinearize_1,77,measured
SEAL,BGV,8192,1,2,3,0,4,after_multiply_2,42,measured
SEAL,BGV,8192,1,2,3,0,5,after_relinearize_2,42,measured
SEAL,BGV,8192,1,2,3,0,6,after_multiply_3,7,measured
SEAL,BGV,8192,1,2,3,0,7,after_relinearize_3,7,measured
SEAL,BGV,8192,1,2,3,1,0,fresh,112,measured
SEAL,BGV,8192,1,2,3,1,1,after_add,111,measured
SEAL,BGV,8192,1,2,3,1,2,after_multiply_1,77,measured
SEAL,BGV,8192,1,2,3,1,3,after_relinearize_1,77,measured
SEAL,BGV,8192,1,2,3,1,4,after_multiply_2,42,measured
SEAL,BGV,8192,1,2,3,1,5,after_relinearize_2,42,measured
SEAL,BGV,8192,1,2,3,1,6,after_multiply_3,7,measured
SEAL,BGV,8192,1,2,3,1,7,after_relinearize_3,7,measured
SEAL,BGV,8192,1,2,3,2,0,fresh,112,measured
SEAL,BGV,8192,1,2,3,2,1,after_add,111,measured
SEAL,BGV,8192,1,2,3,2,2,after_multiply_1,77,measured
SEAL,BGV,8192,1,2,3,2,3,after_relinearize_1,77,measured
SEAL,BGV,8192,1,2,3,2,4,after_multiply_2,42,measured
SEAL,BGV,8192,1,2,3,2,5,after_relinearize_2,42,measured
SEAL,BGV,8192,1,2,3,2,6,after_multiply_3,7,measured
SEAL,BGV,8192,1,2,3,2,7,after_relinearize_3,7,measured
SEAL,BGV,8192,1,2,3,3,0,fresh,112,measured
